data,hora,radiacao_global
2023-02-03,1100 UTC,724.0
2023-02-03,1200 UTC,
2023-02-03,1300 UTC,2459.0
2023-02-03,1400 UTC,
2023-02-03,1500 UTC,
2023-02-03,1600 UTC,
2023-02-03,1700 UTC,
2023-02-03,1800 UTC,
2023-02-03,1900 UTC,
2023-02-03,2000 UTC,
2023-02-03,2100 UTC,
2023-02-03,2200 UTC,
2023-02-04,1000 UTC,53.0
2023-02-04,1100 UTC,
2023-02-04,1200 UTC,
2023-02-04,1300 UTC,
2023-02-04,1400 UTC,
2023-02-04,1500 UTC,
2023-02-04,1600 UTC,
2023-02-04,1700 UTC,
2023-02-04,1800 UTC,
2023-02-04,1900 UTC,
2023-02-04,2000 UTC,449.0
2023-02-04,2100 UTC,
2023-02-04,2200 UTC,
2023-02-05,1000 UTC,
2023-02-05,1100 UTC,
2023-02-05,1200 UTC,
2023-02-05,1300 UTC,2835.0
2023-02-05,1400 UTC,
2023-02-05,1500 UTC,
2023-02-05,1600 UTC,
2023-02-05,1700 UTC,210.0
2023-02-05,1800 UTC,
2023-02-05,1900 UTC,
2023-02-05,2000 UTC,
2023-02-05,2100 UTC,
2023-02-05,2200 UTC,
2023-02-06,1000 UTC,117.0
2023-02-06,1100 UTC,
2023-02-06,1200 UTC,
2023-02-06,1300 UTC,
2023-02-06,1400 UTC,
2023-02-06,1500 UTC,
2023-02-06,1600 UTC,
2023-02-06,1700 UTC,
2023-02-06,1800 UTC,
2023-02-06,1900 UTC,
2023-02-06,2000 UTC,
2023-02-06,2100 UTC,386.0
2023-02-06,2200 UTC,
2023-02-07,1000 UTC,
2023-02-07,1100 UTC,
2023-02-07,1200 UTC,
2023-02-07,1300 UTC,
2023-02-07,1400 UTC,246.0
2023-02-07,1500 UTC,
2023-02-07,1600 UTC,
2023-02-07,1700 UTC,
2023-02-07,1800 UTC,
2023-02-07,1900 UTC,2582.0
2023-02-07,2000 UTC,
2023-02-07,2100 UTC,
2023-02-07,2200 UTC,
2023-02-08,1000 UTC,
2023-02-08,1100 UTC,
2023-02-08,1200 UTC,
2023-02-08,1300 UTC,
2023-02-08,1400 UTC,
2023-02-08,1500 UTC,
2023-02-08,1600 UTC,
2023-02-08,1700 UTC,
2023-02-08,1800 UTC,3219.0
2023-02-08,1900 UTC,
2023-02-08,2000 UTC,
2023-02-08,2100 UTC,669.0
2023-02-08,2200 UTC,
2023-02-09,1000 UTC,
2023-02-09,1100 UTC,
2023-02-09,1200 UTC,
2023-02-09,1300 UTC,
2023-02-09,1400 UTC,
2023-02-09,1500 UTC,
2023-02-09,1600 UTC,
2023-02-09,1700 UTC,
2023-02-09,1800 UTC,
2023-02-09,1900 UTC,
2023-02-09,2000 UTC,
2023-02-09,2100 UTC,
2023-02-09,2200 UTC,
2023-02-10,0200 UTC,
2023-02-10,1000 UTC,
2023-02-10,1100 UTC,
2023-02-10,1200 UTC,1886.0
2023-02-10,1300 UTC,2678.0
2023-02-10,1400 UTC,
2023-02-10,1500 UTC,
2023-02-10,1600 UTC,
2023-02-10,1700 UTC,
2023-02-10,1800 UTC,
2023-02-10,1900 UTC,
2023-02-10,2000 UTC,
2023-02-10,2100 UTC,
2023-02-10,2200 UTC,
2023-02-11,1000 UTC,
2023-02-11,1100 UTC,
2023-02-11,1200 UTC,
2023-02-11,1300 UTC,
2023-02-11,1400 UTC,
2023-02-11,1500 UTC,
2023-02-11,1600 UTC,3211.0
2023-02-11,1700 UTC,
2023-02-11,1800 UTC,2616.0
2023-02-11,1900 UTC,1895.0
2023-02-11,2000 UTC,
2023-02-11,2100 UTC,
2023-02-11,2200 UTC,38.0
2023-02-12,1000 UTC,
2023-02-12,1100 UTC,
2023-02-12,1200 UTC,
2023-02-12,1300 UTC,
2023-02-12,1400 UTC,
2023-02-12,1500 UTC,
2023-02-12,1600 UTC,
2023-02-12,1700 UTC,
2023-02-12,1800 UTC,
2023-02-12,1900 UTC,
2023-02-12,2000 UTC,
2023-02-12,2100 UTC,
2023-02-12,2200 UTC,
2023-02-13,1000 UTC,
2023-02-13,1100 UTC,
2023-02-13,1200 UTC,
2023-02-13,1300 UTC,2581.0
2023-02-13,1400 UTC,
2023-02-13,1500 UTC,
2023-02-13,1600 UTC,
2023-02-13,1700 UTC,
2023-02-13,1800 UTC,
2023-02-13,1900 UTC,
2023-02-13,2000 UTC,
2023-02-13,2100 UTC,
2023-02-13,2200 UTC,
2023-02-14,1000 UTC,
2023-02-14,1100 UTC,
2023-02-14,1200 UTC,
2023-02-14,1300 UTC,
2023-02-14,1400 UTC,
2023-02-14,1500 UTC,3267.0
2023-02-14,1600 UTC,
2023-02-14,1700 UTC,
2023-02-14,1800 UTC,
2023-02-14,1900 UTC,
2023-02-14,2000 UTC,
2023-02-14,2100 UTC,
2023-02-14,2200 UTC,
2023-02-15,1000 UTC,
2023-02-15,1100 UTC,
2023-02-15,1200 UTC,
2023-02-15,1300 UTC,
2023-02-15,1400 UTC,
2023-02-15,1500 UTC,
2023-02-15,1600 UTC,
2023-02-15,1700 UTC,
2023-02-15,1800 UTC,2305.0
2023-02-15,1900 UTC,2731.0
2023-02-15,2000 UTC,
2023-02-15,2100 UTC,
2023-02-15,2200 UTC,76.0
2023-02-16,1000 UTC,
2023-02-16,1100 UTC,
2023-02-16,1200 UTC,951.0
